Title;Description
Bachelor of Mechanical Engineering at the University of Leeds;Obtained a Bachelor of Mechanical Engineering from the University of Leeds, a prestigious institution known for its strong emphasis on technical skills and a highly ranked mechanical engineering program. Studied a range of subjects including thermodynamics, robotics, and materials engineering, gaining a comprehensive understanding of the field. Engaged in practical learning through multiple team projects from the first year, developing teamwork and project management skills. Conducted a research project on a biomedical subject, developing a prototype for an active helmet using soft robotics to treat craniosynostosis, a birth defect in babies' skulls. This project honed research and development skills, as well as an understanding of biomedical applications of engineering. Also gained an introduction to deep learning, sparking a keen interest in its business applications.
Master Grande Ecole at ESSEC & Double Degree with the Saint-Cyr Military Academy;Joined ESSEC as a Master Grande Ecole student with the Accenture chair in business analytics, developing skills in marketing analytics, econometrics, and data science. Worked on a 6-month project for TF1 Publicite, aiding their transition to augmented advertising by creating an interactive map of areas of interest, thus contributing to the digital transformation of advertising in the media industry. Took courses in finance, accounting, and management, gaining a comprehensive business education. As part of a double degree program with the Saint-Cyr military academy, participated in a one-year exchange with a St Cyr officer cadet, undergoing rigorous military training and commanding a platoon of 30 soldiers. Gained insights into geopolitics, defense strategy, and cybersecurity through academic coursework, further broadening the educational horizon. 
Master of Science in Artificial Intelligence at CentraleSupelec;Completed a Master of Science in Artificial Intelligence at CentraleSupelec, a renowned institution located in the research-rich environment of Palaiseau. Studied a broad spectrum of AI topics including machine learning, deep learning, optimization, and big data technologies like Hadoop and Spark, gaining a strong foundational knowledge in AI. Specialized in medical imaging, computer vision, graph neural networks, game theory, and advanced deep learning. Undertook a team-based Master's project focused on the detection of metastases from histopathological images, employing novel deep learning methods to process histopathological images and detect metastatic tumor cells in lymph nodes, shifting from traditional CNNs to segmentation models like U-net to handle vast image sizes and complex preprocessing, with promising results. Gained practical experience by using a database of whole slide images from more than 400 breast cancer patients, as well as the publicly available CAMELYON databases.
Internship at Algeco;Completed an internship at Algeco, a company specializing in modular buildings, where I was responsible for lean management in the warehouse that prepares the modular buildings. In addition to managerial tasks, I also carried out manual tasks, showcasing a strong work ethic and the ability to balance multiple responsibilities simultaneously. This experience provided valuable insights into the operations of a warehouse and the importance of efficiency in business processes. 
Internship at Ekimetrics;Worked as a data scientist strategy consultant at Ekimetrics, a strategy consulting firm. Engaged in a mixed marketing modeling assignment for a luxury goods company, employing data analytics to provide actionable insights for the client. Conducted research on the mechanisms introducing human bias into algorithms, contributing to the development of in-house training materials. Also researched survival models applied to predictive maintenance, showcasing the ability to apply data science techniques to a range of business challenges. Gained experience with PowerBI during this time creating a dashboard to monitor the results of mixed marketing modelling.
Internship at Thales Research and Technologies;Undertook a research internship at Thales Research and Technologies, where I focused on fault-tolerant distributed task allocation algorithms. Reviewed the state-of-the-art algorithms and implemented them in two use cases: specialized drones for rescue operations following natural disasters and defensive drones against offensive drones. Developed multi-agent systems using Java, enhancing technical skills in Java, LaTeX, and Python, and provided valuable insights into the practical applications of distributed algorithms in real-world scenarios. 
Graduate Program Data at Capgemini Invent;Currently enrolled in the Graduate Program Data at Capgemini Invent, where I am completing three rotations as a Data Scientist, Data Engineer, and Strategy Consultant. Engaged in projects in the public sector, developing data quality algorithms and anomaly detection systems, and in the aeronautical industry, developing systems to detect condensation trails using ground and satellite imagery. Developed a regression model and Tableau dashboard for the project. Taught Time Series at Centrale Supelec and for the X/HEC master's program, and Reinforcement Learning for the X/HC master's program. I also worked on setting up an observation system to study and monitor contrails. Enjoys the dynamic team and client interactions, with roles fluctuating between strategy consulting, data science, and data engineering.
Languages and Other Competences;Fluent in French and English, with basic knowledge of German and Spanish. Proficient in technical skills including Python, R, Git, Java, SQL, and Hadoop, with practical experience in tools such as Azure Cloud and Spark. Holds certifications in Cloud Azure AZ900 and has completed various training courses in machine learning and computer science. Also certified in first aid (level 1) and a professional diver (PADI DiveMaster), showcasing a diverse range of skills and interests. Daily use of Python, with experience in MATLAB, R, and Hadoop during studies. Collaborative work involves daily use of Git. 
Associative Commitment at ESSEC and Scuba Diving Association;Actively involved in NOISE (New Observatory for Social and Ecological Innovation) at ESSEC, contributing to discussions with academic teams and organizing the RISE Challenge for solidarity micro-financing. Co-founded a scuba diving association, overcoming challenges such as COVID-19 related cancellations by organizing online talks on marine preservation, showcasing leadership, organizational skills, and a strong commitment to community engagement. Inspired by a similar community in Leeds, the experience required significant investment and skill development, with flexibility demonstrated in navigating challenges. 
Why Bachelor of Mechanical Engineering at the University of Leeds;I decided to go to Leeds University for a more practical training and a different approach to engineering studies. Mechanical Engineering is the most diverse course in England, ranging from thermodynamics to industrial design. It was also a way for me to experience very different cultures in a new environment.It was also for me a way of discovering very different cultures in a different environment. It was also a way for me to discover very different cultures in a different environment while developing my English. The University of Leeds is also a top-ranking university, especially in mechanical engineering.
Why Master Grande Ecole at ESSEC;I decided to join ESSEC's master in management following an introductory AI course I took at Leeds University. Rather than pursuing research, I wanted to see the business implications of data and AI.  So I joined Essec in part for the Accenture Strategic Business Analytics Chair and its analytical, interpersonal and operational program. I also liked the system of tailor-made courses and the diversity of partnerships and double degrees.
Why Double Degree with Saint-Cyr;I pursued a double degree with Saint Cyr, motivated by my keen interest in the defense sector and a desire to challenge myself. This prestigious and highly selective program admits only five students annually. The program is structured to include six months of intensive military training, during which we are taught a range of skills from basic military tactics to the nuances of leading a section. This is followed by six months of academic study, where we join second-year Saint-Cyrien students at the ESM (Ecole Speciale Militaire).
Why Master of Science in Artificial intelligence at CentraleSupelec;I finished my studies by doing a master of science at Centralesupelec to finish developing technical skills in machine learning, deeplearning, and even AI in the broadest sense. It's one of the masters that covers the widest range of topics around AI, and also allows you to specialize during the second semester by taking courses in a wide variety of subjects, from natural language processing to multi-agent systems. I also appreciated the values espoused by the master's program, which sees AI as a tool for society, favoring research projects in the medical and environmental fields.
Why Scuba Diving Association;I created Plong'ESSEC, the diving association, above all to share my passion and make it accessible to as many students as possible. I was also a member of a diving association at Leeds University, so if you can do it in Leeds I don't see why you can't do it in Cergy, I thought to myself at the time. For me, it's also an activity that raises awareness of the importance of preserving marine biodiversity and the environment.
Why Capgemini Invent Program Data;For me, the Data Program at Capgemini Invent is a way of satisfying my curiosity by doing 3 rotations and increasing my skills in the areas that interest me most from both a business and technical point of view. I also particularly appreciate Capgemini Invent's values: Honesty, Boldness, Trust, Freedom, Fun, Modesty, Team spirit, as well as its environmental involvement. What's more, I've joined a company's practice that is undergoing a major transformation with the acquisition of Quantmetry, which is very exciting.
